Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2013-11-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-23,BOA,0.25,0.25,0.25,0.25,000,0.25
